bri,mired,watt
191,253,13.41
191,263,13.42
191,273,13.39
191,283,13.42
191,293,13.43
191,303,13.46
191,313,13.44
191,323,13.45
191,333,13.42
191,343,13.39
191,353,13.44
191,363,13.37
191,370,13.41
196,153,13.73
196,163,13.73
196,173,13.73
196,183,13.74
196,193,13.76
196,203,13.72
196,213,13.77
196,223,13.76
196,233,13.76
196,243,13.72
196,253,13.78
196,263,13.77
196,273,13.79
196,283,13.85
196,293,13.79
196,303,13.75
196,313,13.75
196,323,13.77
196,333,13.74
196,343,13.77
196,353,13.71
196,363,13.73
196,370,13.74
201,153,14.05
201,163,14.03
201,173,14.04
201,183,14.07
201,193,14.08
201,203,14.11
201,213,14.0
201,223,14.07
201,233,14.02
201,243,14.11
201,253,14.09
201,263,14.05
201,273,14.04
201,283,14.03
201,293,14.06
201,303,14.07
201,313,14.07
201,323,14.04
201,333,14.01
201,343,14.01
201,353,14.07
201,363,14.05
201,370,14.02
206,153,14.34
206,163,14.32
206,173,14.4
206,183,14.35
206,193,14.37
206,203,14.35
206,213,14.34
206,223,14.36
206,233,14.39
206,243,14.37
206,253,14.37
206,263,14.38
206,273,14.35
206,283,14.35
206,293,14.39
206,303,14.41
206,313,14.43
206,323,14.34
206,333,14.4
206,343,14.36
206,353,14.35
206,363,14.33
206,370,14.34
211,153,14.66
211,163,14.69
211,173,14.69
211,183,14.64
211,193,14.66
211,203,14.7
211,213,14.69
211,223,14.72
211,233,14.67
211,243,14.67
211,253,14.67
211,263,14.69
211,273,14.69
211,283,14.7
211,293,14.7
211,303,14.67
211,313,14.66
211,323,14.67
211,333,14.69
211,343,14.67
211,353,14.67
211,363,14.67
211,370,14.69
216,153,15.01
216,163,15.03
216,173,14.96
216,183,15.01
216,193,15.02
216,203,14.99
216,213,14.99
216,223,15.02
216,233,15.0
216,243,15.01
216,253,14.98
216,263,15.03
216,273,15.03
216,283,14.99
216,293,15.0
216,303,14.99
216,313,15.0
216,323,15.01
216,333,14.99
216,343,14.98
216,353,15.02
216,363,14.96
216,370,14.95
221,153,15.33
221,163,15.33
221,173,15.35
221,183,15.34
221,193,15.37
221,203,15.4
221,213,15.4
221,223,15.34
221,233,15.44
221,243,15.31
221,253,15.34
221,263,15.37
221,273,15.36
221,283,15.35
221,293,15.36
221,303,15.36
221,313,15.36
221,323,15.36
221,333,15.32
221,343,15.38
221,353,15.33
221,363,15.31
221,370,15.31
226,153,15.66
226,163,15.6
226,173,15.63
226,183,15.68
226,193,15.67
226,203,15.7
226,213,15.67
226,223,15.71
226,233,15.7
226,243,15.65
226,253,15.67
226,263,15.65
226,273,15.67
226,283,15.67
226,293,15.65
226,303,15.65
226,313,15.69
226,323,15.69
226,333,15.68
226,343,15.68
226,353,15.62
226,363,15.64
226,370,15.59
231,153,15.98
231,163,15.98
231,173,15.92
231,183,15.95
231,193,15.94
231,203,16.01
231,213,15.97
231,223,16.0
231,233,16.02
231,243,16.03
231,253,16.05
231,263,16.03
231,273,15.98
231,283,15.94
231,293,15.98
231,303,15.96
231,313,15.97
231,323,16.0
231,333,15.97
231,343,16.0
231,353,15.96
231,363,15.96
231,370,15.92
236,153,16.24
236,163,16.23
236,173,16.24
236,183,16.24
236,193,16.27
236,203,16.29
236,213,16.23
236,223,16.25
236,233,16.29
236,243,16.31
236,253,16.28
236,263,16.29
236,273,16.31
236,283,16.24
236,293,16.29
236,303,16.3
236,313,16.28
236,323,16.29
236,333,16.26
236,343,16.28
236,353,16.28
236,363,16.26
236,370,16.24
241,153,16.61
241,163,16.57
241,173,16.58
241,183,16.58
241,193,16.62
241,203,16.6
241,213,16.65
241,223,16.61
241,233,16.65
241,243,16.62
241,253,16.6
241,263,16.6
241,273,16.63
